osisRef,verseText,source,book,bookOrder,chapter,verse,chrono_txt,chrono_num,verseCount,text,handcoded.sentiment,deberta,deberta.hybrid
Gen.25.20,"And Isaac was forty years old when he took Rebekah to wife, the daughter of Bethuel the Syrian of Padanaram, the sister to Laban the Syrian.",StrongOld,Genesis,1,25,20,Primeval History/Middle Bronze Age,1,1533,"And Isaac was forty years old when he took Rebekah to wife, the daughter of Bethuel the Syrian of Padanaram, the sister to Laban the Syrian.",neutral,NA,neutral
Gen.25.26,"And after that came his brother out, and his hand took hold on Esau’s heel; and his name was called Jacob: and Isaac was threescore years old when she bare them.",StrongOld,Genesis,1,25,26,Primeval History/Middle Bronze Age,1,1533,"And after that came his brother out, and his hand took hold on Esau’s heel; and his name was called Jacob: and Isaac was threescore years old when she bare them.",neutral,NA,neutral
Gen.26.34,"And Esau was forty years old when he took to wife Judith the daughter of Beeri the Hittite, and Bashemath the daughter of Elon the Hittite:",StrongOld,Genesis,1,26,34,Primeval History/Middle Bronze Age,1,1533,"And Esau was forty years old when he took to wife Judith the daughter of Beeri the Hittite, and Bashemath the daughter of Elon the Hittite:",neutral,NA,neutral
Gen.27.1,"And it came to pass, that when Isaac was old, and his eyes were dim, so that he could not see, he called Esau his eldest son, and said unto him, My son: and he said unto him, Behold, here am I.",StrongOld,Genesis,1,27,1,Primeval History/Middle Bronze Age,1,1533,NA,NA,negative,negative
Gen.27.2,"And he said, Behold now, I am old, I know not the day of my death:",StrongOld,Genesis,1,27,2,Primeval History/Middle Bronze Age,1,1533,NA,NA,negative,negative
Gen.35.29,"And Isaac gave up the ghost, and died, and was gathered unto his people, being old and full of days: and his sons Esau and Jacob buried him.",StrongOld,Genesis,1,35,29,Primeval History/Middle Bronze Age,1,1533,"And Isaac gave up the ghost, and died, and was gathered unto his people, being old and full of days: and his sons Esau and Jacob buried him.",neutral,NA,neutral
Gen.37.3,"Now Israel loved Joseph more than all his children, because he was the son of his old age: and he made him a coat of many colours.",StrongOld,Genesis,1,37,3,Primeval History/Middle Bronze Age,1,1533,"Now Israel loved Joseph more than all his children, because he was the son of his old age: and he made him a coat of many colours.",positive,NA,positive
Gen.41.46,"And Joseph was thirty years old when he stood before Pharaoh king of Egypt. And Joseph went out from the presence of Pharaoh, and went throughout all the land of Egypt.",StrongOld,Genesis,1,41,46,Primeval History/Middle Bronze Age,1,1533,NA,NA,neutral,neutral
Gen.42.38,"And he said, My son shall not go down with you; for his brother is dead, and he is left alone: if mischief befall him by the way in the which ye go, then shall ye bring down my gray hairs with sorrow to the grave.",Dulin,Genesis,1,42,38,Primeval History/Middle Bronze Age,1,1533,"And he said, My son shall not go down with you; for his brother is dead, and he is left alone: if mischief befall him by the way in the which ye go, then shall ye bring down my gray hairs with sorrow to the grave.",negative,NA,negative
Gen.43.27,"And he asked them of their welfare, and said, Is your father well, the old man of whom ye spake? Is he yet alive?",StrongOld,Genesis,1,43,27,Primeval History/Middle Bronze Age,1,1533,NA,NA,positive,positive
Gen.44.20,"And we said unto my lord, We have a father, an old man, and a child of his old age, a little one; and his brother is dead, and he alone is left of his mother, and his father loveth him.",StrongOld,Genesis,1,44,20,Primeval History/Middle Bronze Age,1,1533,NA,NA,positive,positive
Gen.44.29,"And if ye take this also from me, and mischief befall him, ye shall bring down my gray hairs with sorrow to the grave.",Dulin,Genesis,1,44,29,Primeval History/Middle Bronze Age,1,1533,"And if ye take this also from me, and mischief befall him, ye shall bring down my gray hairs with sorrow to the grave.",negative,NA,negative
Gen.44.31,"It shall come to pass, when he seeth that the lad is not with us, that he will die: and thy servants shall bring down the gray hairs of thy servant our father with sorrow to the grave.",Dulin,Genesis,1,44,31,Primeval History/Middle Bronze Age,1,1533,"It shall come to pass, when he seeth that the lad is not with us, that he will die: and thy servants shall bring down the gray hairs of thy servant our father with sorrow to the grave.",negative,NA,negative
Gen.47.8,"And Pharaoh said unto Jacob, How old art thou?",StrongOld,Genesis,1,47,8,Primeval History/Middle Bronze Age,1,1533,"And Pharaoh said unto Jacob, How old art thou?",neutral,NA,neutral
Gen.47.9,"And Jacob said unto Pharaoh, The days of the years of my pilgrimage are an hundred and thirty years: few and evil have the days of the years of my life been, and have not attained unto the days of the years of the life of my fathers in the days of their pilgrimage.",NaveOldAge,Genesis,1,47,9,Primeval History/Middle Bronze Age,1,1533,NA,NA,negative,negative
Gen.47.28,And Jacob lived in the land of Egypt seventeen years: so the whole age of Jacob was an hundred forty and seven years.,StrongAge,Genesis,1,47,28,Primeval History/Middle Bronze Age,1,1533,NA,NA,neutral,neutral
Gen.48.10,"Now the eyes of Israel were dim for age, so that he could not see. And he brought them near unto him; and he kissed them, and embraced them.",knight,Genesis,1,48,10,Primeval History/Middle Bronze Age,1,1533,NA,NA,negative,negative
Gen.49.9,"Judah is a lion’s whelp: from the prey, my son, thou art gone up: he stooped down, he couched as a lion, and as an old lion; who shall rouse him up?",StrongOld,Genesis,1,49,9,Primeval History/Middle Bronze Age,1,1533,NA,NA,negative,negative
Gen.50.7,"And Joseph went up to bury his father: and with him went up all the servants of Pharaoh, the elders of his house, and all the elders of the land of Egypt,",StrongElders,Genesis,1,50,7,Primeval History/Middle Bronze Age,1,1533,NA,NA,neutral,neutral
Gen.50.26,"So Joseph died, being an hundred and ten years old: and they embalmed him, and he was put in a coffin in Egypt.",StrongOld,Genesis,1,50,26,Primeval History/Middle Bronze Age,1,1533,NA,NA,positive,positive
Exod.3.16,"Go, and gather the elders of Israel together, and say unto them, The LORD God of your fathers, the God of Abraham, of Isaac, and of Jacob, appeared unto me, saying, I have surely visited you, and seen that which is done to you in Egypt:",StrongElders,Exodus,2,3,16,Late Bronze Age,2,1213,NA,NA,neutral,neutral
Exod.3.18,"And they shall hearken to thy voice: and thou shalt come, thou and the elders of Israel, unto the king of Egypt, and ye shall say unto him, The LORD God of the Hebrews hath met with us: and now let us go, we beseech thee, three days’ journey into the wilderness, that we may sacrifice to the LORD our God.",StrongElders,Exodus,2,3,18,Late Bronze Age,2,1213,NA,NA,positive,positive
Exod.4.29,And Moses and Aaron went and gathered together all the elders of the children of Israel:,StrongElders,Exodus,2,4,29,Late Bronze Age,2,1213,NA,NA,neutral,neutral
Exod.7.7,"And Moses was fourscore years old, and Aaron fourscore and three years old, when they spake unto Pharaoh.",StrongOld,Exodus,2,7,7,Late Bronze Age,2,1213,NA,NA,neutral,neutral
Exod.10.9,"And Moses said, We will go with our young and with our old, with our sons and with our daughters, with our flocks and with our herds will we go; for we must hold a feast unto the LORD.",StrongOld,Exodus,2,10,9,Late Bronze Age,2,1213,"And Moses said, We will go with our young and with our old, with our sons and with our daughters, with our flocks and with our herds will we go; for we must hold a feast unto the LORD.",positive,NA,positive
Exod.12.21,"Then Moses called for all the elders of Israel, and said unto them, Draw out and take you a lamb according to your families, and kill the passover.",StrongElders,Exodus,2,12,21,Late Bronze Age,2,1213,NA,NA,neutral,neutral
Exod.17.5,"And the LORD said unto Moses, Go on before the people, and take with thee of the elders of Israel; and thy rod, wherewith thou smotest the river, take in thine hand, and go.",StrongElders,Exodus,2,17,5,Late Bronze Age,2,1213,NA,NA,neutral,neutral
Exod.17.6,"Behold, I will stand before thee there upon the rock in Horeb; and thou shalt smite the rock, and there shall come water out of it, that the people may drink. And Moses did so in the sight of the elders of Israel.",StrongElders,Exodus,2,17,6,Late Bronze Age,2,1213,NA,NA,neutral,neutral
Exod.18.12,"And Jethro, Moses’ father in law, took a burnt offering and sacrifices for God: and Aaron came, and all the elders of Israel, to eat bread with Moses’ father in law before God.",StrongElders,Exodus,2,18,12,Late Bronze Age,2,1213,NA,NA,neutral,neutral
Exod.18.21,"Moreover thou shalt provide out of all the people able men, such as fear God, men of truth, hating covetousness; and place such over them, to be rulers of thousands, and rulers of hundreds, rulers of fifties, and rulers of tens:",NIDOTTE,Exodus,2,18,21,Late Bronze Age,2,1213,NA,NA,positive,positive
Exod.19.7,"And Moses came and called for the elders of the people, and laid before their faces all these words which the LORD commanded him.",StrongElders,Exodus,2,19,7,Late Bronze Age,2,1213,"And Moses came and called for the elders of the people, and laid before their faces all these words which the LORD commanded him.",neutral,NA,neutral
Exod.20.12,Honour thy father and thy mother: that thy days may be long upon the land which the LORD thy God giveth thee.,knight,Exodus,2,20,12,Late Bronze Age,2,1213,NA,NA,positive,positive
Exod.24.1,"And he said unto Moses, Come up unto the LORD, thou, and Aaron, Nadab, and Abihu, and seventy of the elders of Israel; and worship ye afar off.",StrongElders,Exodus,2,24,1,Late Bronze Age,2,1213,NA,NA,neutral,neutral
Exod.24.9,"Then went up Moses, and Aaron, Nadab, and Abihu, and seventy of the elders of Israel:",StrongElders,Exodus,2,24,9,Late Bronze Age,2,1213,"Then went up Moses, and Aaron, Nadab, and Abihu, and seventy of the elders of Israel:",neutral,NA,neutral
Exod.24.14,"And he said unto the elders, Tarry ye here for us, until we come again unto you: and, behold, Aaron and Hur are with you: if any man have any matters to do, let him come unto them.",StrongElders,Exodus,2,24,14,Late Bronze Age,2,1213,NA,NA,neutral,neutral
Exod.30.14,"Every one that passeth among them that are numbered, from twenty years old and above, shall give an offering unto the LORD.",StrongOld,Exodus,2,30,14,Late Bronze Age,2,1213,NA,NA,positive,positive
Exod.38.26,"A bekah for every man, that is, half a shekel, after the shekel of the sanctuary, for every one that went to be numbered, from twenty years old and upward, for six hundred thousand and three thousand and five hundred and fifty men.",StrongOld,Exodus,2,38,26,Late Bronze Age,2,1213,NA,NA,positive,positive
Lev.4.15,And the elders of the congregation shall lay their hands upon the head of the bullock before the LORD: and the bullock shall be killed before the LORD.,StrongElders,Leviticus,3,4,15,Late Bronze Age,2,859,And the elders of the congregation shall lay their hands upon the head of the bullock before the LORD: and the bullock shall be killed before the LORD.,neutral,NA,neutral
Lev.9.1,"And it came to pass on the eighth day, that Moses called Aaron and his sons, and the elders of Israel;",StrongElders,Leviticus,3,9,1,Late Bronze Age,2,859,NA,NA,neutral,neutral
Lev.19.32,"Thou shalt rise up before the hoary head, and honour the face of the old man, and fear thy God: I am the LORD.",StrongOld,Leviticus,3,19,32,Late Bronze Age,2,859,NA,NA,positive,positive
Lev.27.3,"And thy estimation shall be of the male from twenty years old even unto sixty years old, even thy estimation shall be fifty shekels of silver, after the shekel of the sanctuary.",StrongOld,Leviticus,3,27,3,Late Bronze Age,2,859,"And thy estimation shall be of the male from twenty years old even unto sixty years old, even thy estimation shall be fifty shekels of silver, after the shekel of the sanctuary.",neutral,NA,neutral
Lev.27.7,"And if it be from sixty years old and above; if it be a male, then thy estimation shall be fifteen shekels, and for the female ten shekels.",StrongOld,Leviticus,3,27,7,Late Bronze Age,2,859,NA,NA,neutral,neutral
Num.4.3,"From thirty years old and upward even until fifty years old, all that enter into the host, to do the work in the tabernacle of the congregation.",StrongOld,Numbers,4,4,3,Late Bronze Age,2,1288,NA,NA,neutral,neutral
Num.4.23,"From thirty years old and upward until fifty years old shalt thou number them; all that enter in to perform the service, to do the work in the tabernacle of the congregation.",StrongOld,Numbers,4,4,23,Late Bronze Age,2,1288,NA,NA,neutral,neutral
Num.4.30,"From thirty years old and upward even unto fifty years old shalt thou number them, every one that entereth into the service, to do the work of the tabernacle of the congregation.",StrongOld,Numbers,4,4,30,Late Bronze Age,2,1288,NA,NA,neutral,neutral
Num.4.35,"From thirty years old and upward even unto fifty years old, every one that entereth into the service, for the work in the tabernacle of the congregation:",StrongOld,Numbers,4,4,35,Late Bronze Age,2,1288,"From thirty years old and upward even unto fifty years old, every one that entereth into the service, for the work in the tabernacle of the congregation:",neutral,NA,neutral
Num.4.39,"From thirty years old and upward even unto fifty years old, every one that entereth into the service, for the work in the tabernacle of the congregation,",StrongOld,Numbers,4,4,39,Late Bronze Age,2,1288,"From thirty years old and upward even unto fifty years old, every one that entereth into the service, for the work in the tabernacle of the congregation,",neutral,NA,neutral
Num.4.43,"From thirty years old and upward even unto fifty years old, every one that entereth into the service, for the work in the tabernacle of the congregation,",StrongOld,Numbers,4,4,43,Late Bronze Age,2,1288,"From thirty years old and upward even unto fifty years old, every one that entereth into the service, for the work in the tabernacle of the congregation,",neutral,NA,neutral
Num.4.47,"From thirty years old and upward even unto fifty years old, every one that came to do the service of the ministry, and the service of the burden in the tabernacle of the congregation,",StrongOld,Numbers,4,4,47,Late Bronze Age,2,1288,"From thirty years old and upward even unto fifty years old, every one that came to do the service of the ministry, and the service of the burden in the tabernacle of the congregation,",neutral,NA,neutral
Num.8.25,"And from the age of fifty years they shall cease waiting upon the service thereof, and shall serve no more:",StrongAge,Numbers,4,8,25,Late Bronze Age,2,1288,NA,NA,negative,negative
Num.11.16,"And the LORD said unto Moses, Gather unto me seventy men of the elders of Israel, whom thou knowest to be the elders of the people, and officers over them; and bring them unto the tabernacle of the congregation, that they may stand there with thee.",StrongElders,Numbers,4,11,16,Late Bronze Age,2,1288,"And the LORD said unto Moses, Gather unto me seventy men of the elders of Israel, whom thou knowest to be the elders of the people, and officers over them; and bring them unto the tabernacle of the congregation, that they may stand there with thee.",neutral,NA,neutral
Num.11.17,"And I will come down and talk with thee there: and I will take of the spirit which is upon thee, and will put it upon them; and they shall bear the burden of the people with thee, that thou bear it not thyself alone.",NIDOTTE,Numbers,4,11,17,Late Bronze Age,2,1288,NA,NA,positive,positive
Num.11.24,"And Moses went out, and told the people the words of the LORD, and gathered the seventy men of the elders of the people, and set them round about the tabernacle.",StrongElders,Numbers,4,11,24,Late Bronze Age,2,1288,NA,NA,neutral,neutral
Num.11.25,"And the LORD came down in a cloud, and spake unto him, and took of the spirit that was upon him, and gave it unto the seventy elders: and it came to pass, that, when the spirit rested upon them, they prophesied, and did not cease.",StrongElders,Numbers,4,11,25,Late Bronze Age,2,1288,NA,NA,positive,positive
Num.11.30,"And Moses gat him into the camp, he and the elders of Israel.",StrongElders,Numbers,4,11,30,Late Bronze Age,2,1288,"And Moses gat him into the camp, he and the elders of Israel.",neutral,NA,neutral
Num.16.25,And Moses rose up and went unto Dathan and Abiram; and the elders of Israel followed him.,StrongElders,Numbers,4,16,25,Late Bronze Age,2,1288,And Moses rose up and went unto Dathan and Abiram; and the elders of Israel followed him.,neutral,NA,neutral
Num.22.4,"And Moab said unto the elders of Midian, Now shall this company lick up all that are round about us, as the ox licketh up the grass of the field. And Balak the son of Zippor was king of the Moabites at that time.",StrongElders,Numbers,4,22,4,Late Bronze Age,2,1288,NA,NA,neutral,neutral
Num.22.7,"And the elders of Moab and the elders of Midian departed with the rewards of divination in their hand; and they came unto Balaam, and spake unto him the words of Balak.",StrongElders,Numbers,4,22,7,Late Bronze Age,2,1288,NA,NA,neutral,neutral
Num.33.39,And Aaron was an hundred and twenty and three years old when he died in mount Hor.,StrongOld,Numbers,4,33,39,Late Bronze Age,2,1288,NA,NA,positive,positive
Deut.1.13,"Take you wise men, and understanding, and known among your tribes, and I will make them rulers over you.",NIDOTTE,Deuteronomy,5,1,13,Late Bronze Age,2,959,"Take you wise men, and understanding, and known among your tribes, and I will make them rulers over you.",positive,NA,positive
Deut.4.40,"Thou shalt keep therefore his statutes, and his commandments, which I command thee this day, that it may go well with thee, and with thy children after thee, and that thou mayest prolong thy days upon the earth, which the LORD thy God giveth thee, for ever.",NaveLong,Deuteronomy,5,4,40,Late Bronze Age,2,959,"Thou shalt keep therefore his statutes, and his commandments, which I command thee this day, that it may go well with thee, and with thy children after thee, and that thou mayest prolong thy days upon the earth, which the LORD thy God giveth thee, for ever.",positive,NA,positive
Deut.5.16,"Honour thy father and thy mother, as the LORD thy God hath commanded thee; that thy days may be prolonged, and that it may go well with thee, in the land which the LORD thy God giveth thee.",NaveLong,Deuteronomy,5,5,16,Late Bronze Age,2,959,NA,NA,positive,positive
Deut.5.23,"And it came to pass, when ye heard the voice out of the midst of the darkness, (for the mountain did burn with fire,) that ye came near unto me, even all the heads of your tribes, and your elders;",StrongElders,Deuteronomy,5,5,23,Late Bronze Age,2,959,NA,NA,negative,negative
Deut.6.2,"That thou mightest fear the LORD thy God, to keep all his statutes and his commandments, which I command thee, thou, and thy son, and thy son’s son, all the days of thy life; and that thy days may be prolonged.",Dulin,Deuteronomy,5,6,2,Late Bronze Age,2,959,"That thou mightest fear the LORD thy God, to keep all his statutes and his commandments, which I command thee, thou, and thy son, and thy son’s son, all the days of thy life; and that thy days may be prolonged.",positive,NA,positive
Deut.10.18,"He doth execute the judgment of the fatherless and widow, and loveth the stranger, in giving him food and raiment.",anchor,Deuteronomy,5,10,18,Late Bronze Age,2,959,NA,NA,positive,positive
Deut.11.9,"And that ye may prolong your days in the land, which the LORD sware unto your fathers to give unto them and to their seed, a land that floweth with milk and honey.",Dulin,Deuteronomy,5,11,9,Late Bronze Age,2,959,"And that ye may prolong your days in the land, which the LORD sware unto your fathers to give unto them and to their seed, a land that floweth with milk and honey.",positive,NA,positive
Deut.14.29,"And the Levite, (because he hath no part nor inheritance with thee,) and the stranger, and the fatherless, and the widow, which are within thy gates, shall come, and shall eat and be satisfied; that the LORD thy God may bless thee in all the work of thine hand which thou doest.",anchor,Deuteronomy,5,14,29,Late Bronze Age,2,959,"And the Levite, (because he hath no part nor inheritance with thee,) and the stranger, and the fatherless, and the widow, which are within thy gates, shall come, and shall eat and be satisfied; that the LORD thy God may bless thee in all the work of thine hand which thou doest.",positive,NA,positive
Deut.17.20,"That his heart be not lifted up above his brethren, and that he turn not aside from the commandment, to the right hand, or to the left: to the end that he may prolong his days in his kingdom, he, and his children, in the midst of Israel.",Dulin,Deuteronomy,5,17,20,Late Bronze Age,2,959,NA,NA,negative,negative
Deut.19.12,"Then the elders of his city shall send and fetch him thence, and deliver him into the hand of the avenger of blood, that he may die.",StrongElders,Deuteronomy,5,19,12,Late Bronze Age,2,959,"Then the elders of his city shall send and fetch him thence, and deliver him into the hand of the avenger of blood, that he may die.",negative,NA,negative
Deut.21.2,"Then thy elders and thy judges shall come forth, and they shall measure unto the cities which are round about him that is slain:",StrongElders,Deuteronomy,5,21,2,Late Bronze Age,2,959,NA,NA,neutral,neutral
Deut.21.3,"And it shall be, that the city which is next unto the slain man, even the elders of that city shall take an heifer, which hath not been wrought with, and which hath not drawn in the yoke;",StrongElders,Deuteronomy,5,21,3,Late Bronze Age,2,959,NA,NA,negative,negative
Deut.21.4,"And the elders of that city shall bring down the heifer unto a rough valley, which is neither eared nor sown, and shall strike off the heifer’s neck there in the valley:",StrongElders,Deuteronomy,5,21,4,Late Bronze Age,2,959,"And the elders of that city shall bring down the heifer unto a rough valley, which is neither eared nor sown, and shall strike off the heifer’s neck there in the valley:",neutral,NA,neutral
Deut.21.6,"And all the elders of that city, that are next unto the slain man, shall wash their hands over the heifer that is beheaded in the valley:",StrongElders,Deuteronomy,5,21,6,Late Bronze Age,2,959,"And all the elders of that city, that are next unto the slain man, shall wash their hands over the heifer that is beheaded in the valley:",neutral,NA,neutral
Deut.21.19,"Then shall his father and his mother lay hold on him, and bring him out unto the elders of his city, and unto the gate of his place;",StrongElders,Deuteronomy,5,21,19,Late Bronze Age,2,959,NA,NA,neutral,neutral
Deut.21.20,"And they shall say unto the elders of his city, This our son is stubborn and rebellious, he will not obey our voice; he is a glutton, and a drunkard.",StrongElders,Deuteronomy,5,21,20,Late Bronze Age,2,959,"And they shall say unto the elders of his city, This our son is stubborn and rebellious, he will not obey our voice; he is a glutton, and a drunkard.",negative,NA,negative
Deut.22.7,"But thou shalt in any wise let the dam go, and take the young to thee; that it may be well with thee, and that thou mayest prolong thy days.",NaveLong,Deuteronomy,5,22,7,Late Bronze Age,2,959,"But thou shalt in any wise let the dam go, and take the young to thee; that it may be well with thee, and that thou mayest prolong thy days.",positive,NA,positive
Deut.22.15,"Then shall the father of the damsel, and her mother, take and bring forth the tokens of the damsel’s virginity unto the elders of the city in the gate:",StrongElders,Deuteronomy,5,22,15,Late Bronze Age,2,959,NA,NA,neutral,neutral
Deut.22.16,"And the damsel’s father shall say unto the elders, I gave my daughter unto this man to wife, and he hateth her;",StrongElders,Deuteronomy,5,22,16,Late Bronze Age,2,959,NA,NA,negative,negative
Deut.22.17,"And, lo, he hath given occasions of speech against her, saying, I found not thy daughter a maid; and yet these are the tokens of my daughter’s virginity. And they shall spread the cloth before the elders of the city.",StrongElders,Deuteronomy,5,22,17,Late Bronze Age,2,959,"And, lo, he hath given occasions of speech against her, saying, I found not thy daughter a maid; and yet these are the tokens of my daughter’s virginity. And they shall spread the cloth before the elders of the city.",negative,NA,negative
Deut.22.18,And the elders of that city shall take that man and chastise him;,StrongElders,Deuteronomy,5,22,18,Late Bronze Age,2,959,NA,NA,negative,negative
Deut.24.19,"When thou cuttest down thine harvest in thy field, and hast forgot a sheaf in the field, thou shalt not go again to fetch it: it shall be for the stranger, for the fatherless, and for the widow: that the LORD thy God may bless thee in all the work of thine hands.",anchor,Deuteronomy,5,24,19,Late Bronze Age,2,959,NA,NA,negative,negative
Deut.24.20,"When thou beatest thine olive tree, thou shalt not go over the boughs again: it shall be for the stranger, for the fatherless, and for the widow.",anchor,Deuteronomy,5,24,20,Late Bronze Age,2,959,NA,NA,negative,negative
Deut.24.21,"When thou gatherest the grapes of thy vineyard, thou shalt not glean it afterward: it shall be for the stranger, for the fatherless, and for the widow.",anchor,Deuteronomy,5,24,21,Late Bronze Age,2,959,"When thou gatherest the grapes of thy vineyard, thou shalt not glean it afterward: it shall be for the stranger, for the fatherless, and for the widow.",positive,NA,positive
Deut.25.7,"And if the man like not to take his brother’s wife, then let his brother’s wife go up to the gate unto the elders, and say, My husband’s brother refuseth to raise up unto his brother a name in Israel, he will not perform the duty of my husband’s brother.",StrongElders,Deuteronomy,5,25,7,Late Bronze Age,2,959,"And if the man like not to take his brother’s wife, then let his brother’s wife go up to the gate unto the elders, and say, My husband’s brother refuseth to raise up unto his brother a name in Israel, he will not perform the duty of my husband’s brother.",negative,NA,negative
