osisRef,chrono_num,bookOrder,chapter.true,verse.true,verseText,handcoded.sentiment,deberta,deberta.hybrid
Gen.15.15,1,1,15,15,And thou shalt go to thy fathers in peace; thou shalt be buried in a good old age.,NA,positive,positive
Gen.15.16,1,1,15,16,But in the fourth generation they shall come hither again: for the iniquity of the Amorites is not yet full.,NA,negative,negative
Gen.16.15,1,1,16,15,"And Hagar bare Abram a son: and Abram called his son’s name, which Hagar bare, Ishmael.",NA,neutral,neutral
Gen.16.16,1,1,16,16,"And Abram was fourscore and six years old, when Hagar bare Ishmael to Abram.",NA,neutral,neutral
Gen.17.1,1,1,17,1,"And when Abram was ninety years old and nine, the LORD appeared to Abram, and said unto him, I am the Almighty God; walk before me, and be thou perfect.",NA,neutral,neutral
Gen.17.2,1,1,17,2,"And I will make my covenant between me and thee, and will multiply thee exceedingly.",NA,positive,positive
Gen.17.16,1,1,17,16,"And I will bless her, and give thee a son also of her: yea, I will bless her, and she shall be a mother of nations; kings of people shall be of her.",NA,positive,positive
Gen.17.17,1,1,17,17,"Then Abraham fell upon his face, and laughed, and said in his heart, Shall a child be born unto him that is an hundred years old? and shall Sarah, that is ninety years old, bear?",neutral,NA,neutral
Gen.17.18,1,1,17,18,"And Abraham said unto God, O that Ishmael might live before thee!",NA,positive,positive
Gen.17.23,1,1,17,23,"And Abraham took Ishmael his son, and all that were born in his house, and all that were bought with his money, every male among the men of Abraham’s house; and circumcised the flesh of their foreskin in the selfsame day, as God had said unto him.",NA,neutral,neutral
Gen.17.24,1,1,17,24,"And Abraham was ninety years old and nine, when he was circumcised in the flesh of his foreskin.",neutral,NA,neutral
Gen.17.25,1,1,17,25,"And Ishmael his son was thirteen years old, when he was circumcised in the flesh of his foreskin.",NA,neutral,neutral
Gen.18.10,1,1,18,10,"And he said, I will certainly return unto thee according to the time of life; and, lo, Sarah thy wife shall have a son. And Sarah heard it in the tent door, which was behind him.",NA,positive,positive
Gen.18.11,1,1,18,11,Now Abraham and Sarah were old and well stricken in age; and it ceased to be with Sarah after the manner of women.,NA,negative,negative
Gen.18.12,1,1,18,12,"Therefore Sarah laughed within herself, saying, After I am waxed old shall I have pleasure, my lord being old also?",NA,positive,positive
Gen.18.13,1,1,18,13,"And the LORD said unto Abraham, Wherefore did Sarah laugh, saying, Shall I of a surety bear a child, which am old?",NA,negative,negative
Gen.18.14,1,1,18,14,"Is any thing too hard for the LORD? At the time appointed I will return unto thee, according to the time of life, and Sarah shall have a son.",NA,positive,positive
Gen.19.3,1,1,19,3,"And he pressed upon them greatly; and they turned in unto him, and entered into his house; and he made them a feast, and did bake unleavened bread, and they did eat.",NA,negative,negative
Gen.19.4,1,1,19,4,"But before they lay down, the men of the city, even the men of Sodom, compassed the house round, both old and young, all the people from every quarter:",NA,negative,negative
Gen.19.5,1,1,19,5,"And they called unto Lot, and said unto him, Where are the men which came in to thee this night? bring them out unto us, that we may know them.",NA,neutral,neutral
Gen.19.30,1,1,19,30,"And Lot went up out of Zoar, and dwelt in the mountain, and his two daughters with him; for he feared to dwell in Zoar: and he dwelt in a cave, he and his two daughters.",NA,neutral,neutral
Gen.19.31,1,1,19,31,"And the firstborn said unto the younger, Our father is old, and there is not a man in the earth to come in unto us after the manner of all the earth:",NA,negative,negative
Gen.19.32,1,1,19,32,"Come, let us make our father drink wine, and we will lie with him, that we may preserve seed of our father.",NA,positive,positive
Gen.21.1,1,1,21,1,"And the LORD visited Sarah as he had said, and the LORD did unto Sarah as he had spoken.",NA,positive,positive
Gen.21.2,1,1,21,2,"For Sarah conceived, and bare Abraham a son in his old age, at the set time of which God had spoken to him.",NA,positive,positive
Gen.21.3,1,1,21,3,"And Abraham called the name of his son that was born unto him, whom Sarah bare to him, Isaac.",NA,neutral,neutral
Gen.21.4,1,1,21,4,"And Abraham circumcised his son Isaac being eight days old, as God had commanded him.",NA,neutral,neutral
Gen.21.5,1,1,21,5,"And Abraham was an hundred years old, when his son Isaac was born unto him.",neutral,NA,neutral
Gen.21.6,1,1,21,6,"And Sarah said, God hath made me to laugh, so that all that hear will laugh with me.",NA,positive,positive
Gen.21.7,1,1,21,7,"And she said, Who would have said unto Abraham, that Sarah should have given children suck? for I have born him a son in his old age.",positive,NA,positive
Gen.21.8,1,1,21,8,"And the child grew, and was weaned: and Abraham made a great feast the same day that Isaac was weaned.",NA,neutral,neutral
Gen.23.1,1,1,23,1,And Sarah was an hundred and seven and twenty years old: these were the years of the life of Sarah.,NA,positive,positive
Gen.23.2,1,1,23,2,"And Sarah died in Kirjatharba; the same is Hebron in the land of Canaan: and Abraham came to mourn for Sarah, and to weep for her.",NA,neutral,neutral
Gen.24.1,1,1,24,1,"And Abraham was old, and well stricken in age: and the LORD had blessed Abraham in all things.",positive,NA,positive
Gen.24.2,1,1,24,2,"And Abraham said unto his eldest servant of his house, that ruled over all that he had, Put, I pray thee, thy hand under my thigh:",neutral,NA,neutral
Gen.24.3,1,1,24,3,"And I will make thee swear by the LORD, the God of heaven, and the God of the earth, that thou shalt not take a wife unto my son of the daughters of the Canaanites, among whom I dwell:",NA,negative,negative
Gen.24.35,1,1,24,35,"And the LORD hath blessed my master greatly; and he is become great: and he hath given him flocks, and herds, and silver, and gold, and menservants, and maidservants, and camels, and asses.",NA,positive,positive
Gen.24.36,1,1,24,36,And Sarah my master’s wife bare a son to my master when she was old: and unto him hath he given all that he hath.,NA,positive,positive
Gen.24.37,1,1,24,37,"And my master made me swear, saying, Thou shalt not take a wife to my son of the daughters of the Canaanites, in whose land I dwell:",NA,negative,negative
Gen.25.7,1,1,25,7,"And these are the days of the years of Abraham’s life which he lived, an hundred threescore and fifteen years.",NA,positive,positive
Gen.25.8,1,1,25,8,"Then Abraham gave up the ghost, and died in a good old age, an old man, and full of years; and was gathered to his people.",positive,NA,positive
Gen.25.9,1,1,25,9,"And his sons Isaac and Ishmael buried him in the cave of Machpelah, in the field of Ephron the son of Zohar the Hittite, which is before Mamre;",NA,neutral,neutral
Gen.25.19,1,1,25,19,"And these are the generations of Isaac, Abraham’s son: Abraham begat Isaac:",NA,neutral,neutral
Gen.25.20,1,1,25,20,"And Isaac was forty years old when he took Rebekah to wife, the daughter of Bethuel the Syrian of Padanaram, the sister to Laban the Syrian.",neutral,NA,neutral
Gen.25.21,1,1,25,21,"And Isaac intreated the LORD for his wife, because she was barren: and the LORD was intreated of him, and Rebekah his wife conceived.",NA,positive,positive
Gen.25.25,1,1,25,25,"And the first came out red, all over like an hairy garment; and they called his name Esau.",NA,neutral,neutral
Gen.25.26,1,1,25,26,"And after that came his brother out, and his hand took hold on Esau’s heel; and his name was called Jacob: and Isaac was threescore years old when she bare them.",neutral,NA,neutral
Gen.25.27,1,1,25,27,"And the boys grew: and Esau was a cunning hunter, a man of the field; and Jacob was a plain man, dwelling in tents.",NA,neutral,neutral
Gen.26.33,1,1,26,33,And he called it Shebah: therefore the name of the city is Beersheba unto this day.,NA,neutral,neutral
Gen.26.34,1,1,26,34,"And Esau was forty years old when he took to wife Judith the daughter of Beeri the Hittite, and Bashemath the daughter of Elon the Hittite:",neutral,NA,neutral
Gen.26.35,1,1,26,35,Which were a grief of mind unto Isaac and to Rebekah.,NA,negative,negative
Gen.27.1,1,1,27,1,"And it came to pass, that when Isaac was old, and his eyes were dim, so that he could not see, he called Esau his eldest son, and said unto him, My son: and he said unto him, Behold, here am I.",NA,negative,negative
Gen.27.2,1,1,27,2,"And he said, Behold now, I am old, I know not the day of my death:",NA,negative,negative
Gen.27.3,1,1,27,3,"Now therefore take, I pray thee, thy weapons, thy quiver and thy bow, and go out to the field, and take me some venison;",NA,positive,positive
Gen.35.28,1,1,35,28,And the days of Isaac were an hundred and fourscore years.,NA,positive,positive
Gen.35.29,1,1,35,29,"And Isaac gave up the ghost, and died, and was gathered unto his people, being old and full of days: and his sons Esau and Jacob buried him.",neutral,NA,neutral
Gen.37.2,1,1,37,2,"These are the generations of Jacob. Joseph, being seventeen years old, was feeding the flock with his brethren; and the lad was with the sons of Bilhah, and with the sons of Zilpah, his father’s wives: and Joseph brought unto his father their evil report.",NA,neutral,neutral
Gen.37.3,1,1,37,3,"Now Israel loved Joseph more than all his children, because he was the son of his old age: and he made him a coat of many colours.",positive,NA,positive
Gen.37.4,1,1,37,4,"And when his brethren saw that their father loved him more than all his brethren, they hated him, and could not speak peaceably unto him.",NA,negative,negative
Gen.41.45,1,1,41,45,And Pharaoh called Joseph’s name Zaphnathpaaneah; and he gave him to wife Asenath the daughter of Potipherah priest of On. And Joseph went out over all the land of Egypt.,NA,neutral,neutral
Gen.41.46,1,1,41,46,"And Joseph was thirty years old when he stood before Pharaoh king of Egypt. And Joseph went out from the presence of Pharaoh, and went throughout all the land of Egypt.",NA,neutral,neutral
Gen.41.47,1,1,41,47,And in the seven plenteous years the earth brought forth by handfuls.,NA,positive,positive
Gen.42.37,1,1,42,37,"And Reuben spake unto his father, saying, Slay my two sons, if I bring him not to thee: deliver him into my hand, and I will bring him to thee again.",NA,negative,negative
Gen.42.38,1,1,42,38,"And he said, My son shall not go down with you; for his brother is dead, and he is left alone: if mischief befall him by the way in the which ye go, then shall ye bring down my gray hairs with sorrow to the grave.",negative,NA,negative
Gen.43.26,1,1,43,26,"And when Joseph came home, they brought him the present which was in their hand into the house, and bowed themselves to him to the earth.",NA,positive,positive
Gen.43.27,1,1,43,27,"And he asked them of their welfare, and said, Is your father well, the old man of whom ye spake? Is he yet alive?",NA,positive,positive
Gen.43.28,1,1,43,28,"And they answered, Thy servant our father is in good health, he is yet alive. And they bowed down their heads, and made obeisance.",NA,positive,positive
Gen.44.19,1,1,44,19,"My lord asked his servants, saying, Have ye a father, or a brother?",NA,positive,positive
Gen.44.20,1,1,44,20,"And we said unto my lord, We have a father, an old man, and a child of his old age, a little one; and his brother is dead, and he alone is left of his mother, and his father loveth him.",NA,positive,positive
Gen.44.21,1,1,44,21,"And thou saidst unto thy servants, Bring him down unto me, that I may set mine eyes upon him.",NA,neutral,neutral
Gen.44.28,1,1,44,28,"And the one went out from me, and I said, Surely he is torn in pieces; and I saw him not since:",NA,negative,negative
Gen.44.29,1,1,44,29,"And if ye take this also from me, and mischief befall him, ye shall bring down my gray hairs with sorrow to the grave.",negative,NA,negative
Gen.44.30,1,1,44,30,"Now therefore when I come to thy servant my father, and the lad be not with us; seeing that his life is bound up in the lad’s life;",NA,negative,negative
Gen.44.31,1,1,44,31,"It shall come to pass, when he seeth that the lad is not with us, that he will die: and thy servants shall bring down the gray hairs of thy servant our father with sorrow to the grave.",negative,NA,negative
Gen.44.32,1,1,44,32,"For thy servant became surety for the lad unto my father, saying, If I bring him not unto thee, then I shall bear the blame to my father for ever.",NA,negative,negative
Gen.47.7,1,1,47,7,"And Joseph brought in Jacob his father, and set him before Pharaoh: and Jacob blessed Pharaoh.",NA,neutral,neutral
Gen.47.8,1,1,47,8,"And Pharaoh said unto Jacob, How old art thou?",neutral,NA,neutral
Gen.47.9,1,1,47,9,"And Jacob said unto Pharaoh, The days of the years of my pilgrimage are an hundred and thirty years: few and evil have the days of the years of my life been, and have not attained unto the days of the years of the life of my fathers in the days of their pilgrimage.",NA,negative,negative
Gen.47.10,1,1,47,10,"And Jacob blessed Pharaoh, and went out from before Pharaoh.",NA,neutral,neutral
Gen.47.27,1,1,47,27,"And Israel dwelt in the land of Egypt, in the country of Goshen; and they had possessions therein, and grew, and multiplied exceedingly.",NA,neutral,neutral
Gen.47.28,1,1,47,28,And Jacob lived in the land of Egypt seventeen years: so the whole age of Jacob was an hundred forty and seven years.,NA,neutral,neutral
Gen.47.29,1,1,47,29,"And the time drew nigh that Israel must die: and he called his son Joseph, and said unto him, If now I have found grace in thy sight, put, I pray thee, thy hand under my thigh, and deal kindly and truly with me; bury me not, I pray thee, in Egypt:",NA,positive,positive
Gen.48.9,1,1,48,9,"And Joseph said unto his father, They are my sons, whom God hath given me in this place. And he said, Bring them, I pray thee, unto me, and I will bless them.",NA,positive,positive
Gen.48.10,1,1,48,10,"Now the eyes of Israel were dim for age, so that he could not see. And he brought them near unto him; and he kissed them, and embraced them.",NA,negative,negative
Gen.48.11,1,1,48,11,"And Israel said unto Joseph, I had not thought to see thy face: and, lo, God hath shewed me also thy seed.",NA,negative,negative
Gen.49.8,1,1,49,8,"Judah, thou art he whom thy brethren shall praise: thy hand shall be in the neck of thine enemies; thy father’s children shall bow down before thee.",NA,positive,positive
Gen.49.9,1,1,49,9,"Judah is a lion’s whelp: from the prey, my son, thou art gone up: he stooped down, he couched as a lion, and as an old lion; who shall rouse him up?",NA,negative,negative
Gen.49.10,1,1,49,10,"The sceptre shall not depart from Judah, nor a lawgiver from between his feet, until Shiloh come; and unto him shall the gathering of the people be.",NA,positive,positive
Gen.50.6,1,1,50,6,"And Pharaoh said, Go up, and bury thy father, according as he made thee swear.",NA,positive,positive
Gen.50.7,1,1,50,7,"And Joseph went up to bury his father: and with him went up all the servants of Pharaoh, the elders of his house, and all the elders of the land of Egypt,",NA,neutral,neutral
Gen.50.8,1,1,50,8,"And all the house of Joseph, and his brethren, and his father’s house: only their little ones, and their flocks, and their herds, they left in the land of Goshen.",NA,positive,positive
Gen.50.25,1,1,50,25,"And Joseph took an oath of the children of Israel, saying, God will surely visit you, and ye shall carry up my bones from hence.",NA,positive,positive
Gen.50.26,1,1,50,26,"So Joseph died, being an hundred and ten years old: and they embalmed him, and he was put in a coffin in Egypt.",NA,positive,positive
Job.5.25,1,18,5,25,"Thou shalt know also that thy seed shall be great, and thine offspring as the grass of the earth.",NA,positive,positive
Job.5.26,1,18,5,26,"Thou shalt come to thy grave in a full age, like as a shock of corn cometh in in his season.",NA,positive,positive
Job.5.27,1,18,5,27,"Lo this, we have searched it, so it is; hear it, and know thou it for thy good.",NA,positive,positive
Job.12.11,1,18,12,11,Doth not the ear try words? and the mouth taste his meat?,NA,negative,negative
Job.12.12,1,18,12,12,With the ancient is wisdom; and in length of days understanding.,positive,NA,positive
Job.12.13,1,18,12,13,"With him is wisdom and strength, he hath counsel and understanding.",NA,positive,positive
Job.12.19,1,18,12,19,"He leadeth princes away spoiled, and overthroweth the mighty.",NA,negative,negative
Job.12.20,1,18,12,20,"He removeth away the speech of the trusty, and taketh away the understanding of the aged.",NA,negative,negative
Job.12.21,1,18,12,21,"He poureth contempt upon princes, and weakeneth the strength of the mighty.",NA,negative,negative
Job.15.9,1,18,15,9,"What knowest thou, that we know not? what understandest thou, which is not in us?",NA,negative,negative
Job.15.10,1,18,15,10,"With us are both the grayheaded and very aged men, much elder than thy father.",NA,positive,positive
Job.15.11,1,18,15,11,Are the consolations of God small with thee? is there any secret thing with thee?,NA,negative,negative
Job.21.6,1,18,21,6,"Even when I remember I am afraid, and trembling taketh hold on my flesh.",NA,negative,negative
Job.21.7,1,18,21,7,"Wherefore do the wicked live, become old, yea, are mighty in power?",negative,NA,negative
Job.21.8,1,18,21,8,"Their seed is established in their sight with them, and their offspring before their eyes.",NA,positive,positive
Job.22.8,1,18,22,8,"But as for the mighty man, he had the earth; and the honourable man dwelt in it.",NA,positive,positive
Job.22.9,1,18,22,9,"Thou hast sent widows away empty, and the arms of the fatherless have been broken.",negative,NA,negative
Job.22.10,1,18,22,10,"Therefore snares are round about thee, and sudden fear troubleth thee;",NA,negative,negative
Job.24.2,1,18,24,2,"Some remove the landmarks; they violently take away flocks, and feed thereof.",NA,negative,negative
Job.24.3,1,18,24,3,"They drive away the ass of the fatherless, they take the widow’s ox for a pledge.",negative,NA,negative
Job.24.4,1,18,24,4,They turn the needy out of the way: the poor of the earth hide themselves together.,NA,negative,negative
Job.29.7,1,18,29,7,"When I went out to the gate through the city, when I prepared my seat in the street!",NA,negative,negative
Job.29.8,1,18,29,8,"The young men saw me, and hid themselves: and the aged arose, and stood up.",NA,negative,negative
Job.29.9,1,18,29,9,"The princes refrained talking, and laid their hand on their mouth.",NA,negative,negative
Job.29.17,1,18,29,17,"And I brake the jaws of the wicked, and plucked the spoil out of his teeth.",NA,negative,negative
Job.29.18,1,18,29,18,"Then I said, I shall die in my nest, and I shall multiply my days as the sand.",positive,NA,positive
Job.29.19,1,18,29,19,"My root was spread out by the waters, and the dew lay all night upon my branch.",NA,negative,negative
Job.30.1,1,18,30,1,"But now they that are younger than I have me in derision, whose fathers I would have disdained to have set with the dogs of my flock.",NA,negative,negative
Job.30.2,1,18,30,2,"Yea, whereto might the strength of their hands profit me, in whom old age was perished?",negative,NA,negative
Job.30.3,1,18,30,3,For want and famine they were solitary; fleeing into the wilderness in former time desolate and waste.,NA,negative,negative
Job.31.15,1,18,31,15,Did not he that made me in the womb make him? and did not one fashion us in the womb?,NA,positive,positive
Job.31.16,1,18,31,16,"If I have withheld the poor from their desire, or have caused the eyes of the widow to fail;",NA,negative,negative
Job.31.17,1,18,31,17,"Or have eaten my morsel myself alone, and the fatherless hath not eaten thereof;",NA,negative,negative
Job.32.3,1,18,32,3,"Also against his three friends was his wrath kindled, because they had found no answer, and yet had condemned Job.",NA,negative,negative
Job.32.4,1,18,32,4,"Now Elihu had waited till Job had spoken, because they were elder than he.",neutral,NA,neutral
Job.32.5,1,18,32,5,"When Elihu saw that there was no answer in the mouth of these three men, then his wrath was kindled.",NA,negative,negative
Job.32.6,1,18,32,6,"And Elihu the son of Barachel the Buzite answered and said, I am young, and ye are very old; wherefore I was afraid, and durst not shew you mine opinion.",NA,negative,negative
Job.32.7,1,18,32,7,"I said, Days should speak, and multitude of years should teach wisdom.",NA,positive,positive
Job.32.8,1,18,32,8,But there is a spirit in man: and the inspiration of the Almighty giveth them understanding.,NA,positive,positive
Job.32.9,1,18,32,9,Great men are not always wise: neither do the aged understand judgment.,negative,NA,negative
Job.32.10,1,18,32,10,"Therefore I said, Hearken to me; I also will shew mine opinion.",NA,positive,positive
Job.42.15,1,18,42,15,And in all the land were no women found so fair as the daughters of Job: and their father gave them inheritance among their brethren.,NA,positive,positive
Job.42.16,1,18,42,16,"After this lived Job an hundred and forty years, and saw his sons, and his sons’ sons, even four generations.",positive,NA,positive
Job.42.17,1,18,42,17,"So Job died, being old and full of days.",positive,NA,positive
Exod.3.15,2,2,3,15,"And God said moreover unto Moses, Thus shalt thou say unto the children of Israel, The LORD God of your fathers, the God of Abraham, the God of Isaac, and the God of Jacob, hath sent me unto you: this is my name for ever, and this is my memorial unto all generations.",NA,positive,positive
Exod.3.16,2,2,3,16,"Go, and gather the elders of Israel together, and say unto them, The LORD God of your fathers, the God of Abraham, of Isaac, and of Jacob, appeared unto me, saying, I have surely visited you, and seen that which is done to you in Egypt:",NA,neutral,neutral
Exod.3.17,2,2,3,17,"And I have said, I will bring you up out of the affliction of Egypt unto the land of the Canaanites, and the Hittites, and the Amorites, and the Perizzites, and the Hivites, and the Jebusites, unto a land flowing with milk and honey.",NA,neutral,neutral
Exod.3.18,2,2,3,18,"And they shall hearken to thy voice: and thou shalt come, thou and the elders of Israel, unto the king of Egypt, and ye shall say unto him, The LORD God of the Hebrews hath met with us: and now let us go, we beseech thee, three days’ journey into the wilderness, that we may sacrifice to the LORD our God.",NA,positive,positive
Exod.3.19,2,2,3,19,"And I am sure that the king of Egypt will not let you go, no, not by a mighty hand.",NA,negative,negative
Exod.4.28,2,2,4,28,"And Moses told Aaron all the words of the LORD who had sent him, and all the signs which he had commanded him.",NA,positive,positive
Exod.4.29,2,2,4,29,And Moses and Aaron went and gathered together all the elders of the children of Israel:,NA,neutral,neutral
Exod.4.30,2,2,4,30,"And Aaron spake all the words which the LORD had spoken unto Moses, and did the signs in the sight of the people.",NA,positive,positive
Exod.7.6,2,2,7,6,"And Moses and Aaron did as the LORD commanded them, so did they.",NA,neutral,neutral
Exod.7.7,2,2,7,7,"And Moses was fourscore years old, and Aaron fourscore and three years old, when they spake unto Pharaoh.",NA,neutral,neutral
Exod.7.8,2,2,7,8,"And the LORD spake unto Moses and unto Aaron, saying,",NA,neutral,neutral
Exod.10.8,2,2,10,8,"And Moses and Aaron were brought again unto Pharaoh: and he said unto them, Go, serve the LORD your God: but who are they that shall go?",NA,neutral,neutral
Exod.10.9,2,2,10,9,"And Moses said, We will go with our young and with our old, with our sons and with our daughters, with our flocks and with our herds will we go; for we must hold a feast unto the LORD.",positive,NA,positive
Exod.10.10,2,2,10,10,"And he said unto them, Let the LORD be so with you, as I will let you go, and your little ones: look to it; for evil is before you.",NA,positive,positive
Exod.12.20,2,2,12,20,Ye shall eat nothing leavened; in all your habitations shall ye eat unleavened bread.,NA,negative,negative
Exod.12.21,2,2,12,21,"Then Moses called for all the elders of Israel, and said unto them, Draw out and take you a lamb according to your families, and kill the passover.",NA,neutral,neutral
Exod.12.22,2,2,12,22,"And ye shall take a bunch of hyssop, and dip it in the blood that is in the bason, and strike the lintel and the two side posts with the blood that is in the bason; and none of you shall go out at the door of his house until the morning.",NA,negative,negative
Exod.17.4,2,2,17,4,"And Moses cried unto the LORD, saying, What shall I do unto this people? they be almost ready to stone me.",NA,negative,negative
Exod.17.5,2,2,17,5,"And the LORD said unto Moses, Go on before the people, and take with thee of the elders of Israel; and thy rod, wherewith thou smotest the river, take in thine hand, and go.",NA,neutral,neutral
Exod.17.6,2,2,17,6,"Behold, I will stand before thee there upon the rock in Horeb; and thou shalt smite the rock, and there shall come water out of it, that the people may drink. And Moses did so in the sight of the elders of Israel.",NA,neutral,neutral
Exod.17.7,2,2,17,7,"And he called the name of the place Massah, and Meribah, because of the chiding of the children of Israel, and because they tempted the LORD, saying, Is the LORD among us, or not?",NA,negative,negative
Exod.18.11,2,2,18,11,Now I know that the LORD is greater than all gods: for in the thing wherein they dealt proudly he was above them.,NA,negative,negative
Exod.18.12,2,2,18,12,"And Jethro, Moses’ father in law, took a burnt offering and sacrifices for God: and Aaron came, and all the elders of Israel, to eat bread with Moses’ father in law before God.",NA,neutral,neutral
Exod.18.13,2,2,18,13,"And it came to pass on the morrow, that Moses sat to judge the people: and the people stood by Moses from the morning unto the evening.",NA,positive,positive
Exod.18.20,2,2,18,20,"And thou shalt teach them ordinances and laws, and shalt shew them the way wherein they must walk, and the work that they must do.",NA,positive,positive
Exod.18.21,2,2,18,21,"Moreover thou shalt provide out of all the people able men, such as fear God, men of truth, hating covetousness; and place such over them, to be rulers of thousands, and rulers of hundreds, rulers of fifties, and rulers of tens:",NA,positive,positive
Exod.18.22,2,2,18,22,"And let them judge the people at all seasons: and it shall be, that every great matter they shall bring unto thee, but every small matter they shall judge: so shall it be easier for thyself, and they shall bear the burden with thee.",NA,negative,negative
Exod.19.6,2,2,19,6,"And ye shall be unto me a kingdom of priests, and an holy nation. These are the words which thou shalt speak unto the children of Israel.",NA,positive,positive
Exod.19.7,2,2,19,7,"And Moses came and called for the elders of the people, and laid before their faces all these words which the LORD commanded him.",neutral,NA,neutral
Exod.19.8,2,2,19,8,"And all the people answered together, and said, All that the LORD hath spoken we will do. And Moses returned the words of the people unto the LORD.",NA,positive,positive
Exod.20.11,2,2,20,11,"For in six days the LORD made heaven and earth, the sea, and all that in them is, and rested the seventh day: wherefore the LORD blessed the sabbath day, and hallowed it.",NA,positive,positive
Exod.20.12,2,2,20,12,Honour thy father and thy mother: that thy days may be long upon the land which the LORD thy God giveth thee.,NA,positive,positive
Exod.20.13,2,2,20,13,Thou shalt not kill.,NA,negative,negative
Exod.24.1,2,2,24,1,"And he said unto Moses, Come up unto the LORD, thou, and Aaron, Nadab, and Abihu, and seventy of the elders of Israel; and worship ye afar off.",NA,neutral,neutral
Exod.24.2,2,2,24,2,And Moses alone shall come near the LORD: but they shall not come nigh; neither shall the people go up with him.,NA,negative,negative
Exod.24.8,2,2,24,8,"And Moses took the blood, and sprinkled it on the people, and said, Behold the blood of the covenant, which the LORD hath made with you concerning all these words.",NA,positive,positive
Exod.24.9,2,2,24,9,"Then went up Moses, and Aaron, Nadab, and Abihu, and seventy of the elders of Israel:",neutral,NA,neutral
Exod.24.10,2,2,24,10,"And they saw the God of Israel: and there was under his feet as it were a paved work of a sapphire stone, and as it were the body of heaven in his clearness.",NA,positive,positive
Exod.24.13,2,2,24,13,"And Moses rose up, and his minister Joshua: and Moses went up into the mount of God.",NA,neutral,neutral
Exod.24.14,2,2,24,14,"And he said unto the elders, Tarry ye here for us, until we come again unto you: and, behold, Aaron and Hur are with you: if any man have any matters to do, let him come unto them.",NA,neutral,neutral
Exod.24.15,2,2,24,15,"And Moses went up into the mount, and a cloud covered the mount.",NA,neutral,neutral
Exod.30.13,2,2,30,13,"This they shall give, every one that passeth among them that are numbered, half a shekel after the shekel of the sanctuary: (a shekel is twenty gerahs:) an half shekel shall be the offering of the LORD.",NA,positive,positive
Exod.30.14,2,2,30,14,"Every one that passeth among them that are numbered, from twenty years old and above, shall give an offering unto the LORD.",NA,positive,positive
Exod.30.15,2,2,30,15,"The rich shall not give more, and the poor shall not give less than half a shekel, when they give an offering unto the LORD, to make an atonement for your souls.",NA,positive,positive
Exod.38.25,2,2,38,25,"And the silver of them that were numbered of the congregation was an hundred talents, and a thousand seven hundred and threescore and fifteen shekels, after the shekel of the sanctuary:",NA,positive,positive
